TIME 	 VAUXP[1] 	 VAUXN[1] 
80899390 0.5 0
80901470 0.5 0
80903550 0.5 0
80905630 0.5 0
80907710 0.5 0
80909790 0.5 0
80911870 0.5 0
80913950 0.5 0
80916030 0.5 0
80918110 0.5 0
80920190 0.5 0
80922270 0.5 0
80924350 0.5 0
80926430 0.5 0
80928510 0.5 0
80930590 0.5 0
80932670 0.5 0
80934750 0.5 0
80936830 0.5 0
80938910 0.5 0
80940990 0.5 0
80943070 0.5 0
80945150 0.5 0
80947230 0.5 0
80949310 0.5 0
80951390 0.5 0
80953470 0.5 0
80955550 0.5 0
80957630 0.5 0
80959710 0.5 0
80961790 0.5 0
80963870 0.5 0
80965950 0.5 0
80968030 0.5 0
80970110 0.5 0
80972190 0.5 0
80974270 0.5 0
80976350 0.5 0
80978430 0.5 0
80980510 0.5 0
80982590 0.5 0
80984670 0.5 0
80986750 0.5 0
80988830 0.5 0
80990910 0.5 0
80992990 0.5 0
80995070 0.5 0
80997150 0.5 0
80999230 0.5 0
81001310 0.5 0
81003390 0.5 0
81005470 0.5 0
81007550 0.5 0
81009630 0.5 0
81011710 0.5 0
81013790 0.5 0
81015870 0.5 0
81017950 0.5 0
81020030 0.5 0
81022110 0.5 0
81024190 0.5 0
81026270 0.5 0
81028350 0.5 0
81030430 0.5 0
81032510 0.5 0
81034590 0.5 0
81036670 0.5 0
81038750 0.5 0
81040830 0.5 0
81042910 0.5 0
81044990 0.5 0
81047070 0.5 0
81049150 0.5 0
81051230 0.5 0
81053310 0.5 0
81055390 0.5 0
81057470 0.5 0
81059550 0.5 0
81061630 0.5 0
81063710 0.5 0
81065790 0.5 0
81067870 0.5 0
81069950 0.5 0
81072030 0.5 0
81074110 0.5 0
81076190 0.5 0
81078270 0.5 0
81080350 0.5 0
81082430 0.5 0
81084510 0.5 0
81086590 0.5 0
81088670 0.5 0
81090750 0.5 0
81092830 0.5 0
81094910 0.5 0
81096990 0.5 0
81099070 0.5 0
81101150 0.5 0
81103230 0.5 0
81105310 0.5 0
81107390 0.5 0
81109470 0.5 0
81111550 0.5 0
81113630 0.5 0
81115710 0.5 0
81117790 0.5 0
81119870 0.5 0
81121950 0.5 0
81124030 0.5 0
81126110 0.5 0
81128190 0.5 0
81130270 0.5 0
81132350 0.5 0
81134430 0.5 0
81136510 0.5 0
81138590 0.5 0
81140670 0.5 0
81142750 0.5 0
81144830 0.5 0
81146910 0.5 0
81148990 0.5 0
81151070 0.5 0
81153150 0.5 0
81155230 0.5 0
81157310 0.5 0
81159390 0.5 0
81161470 0.5 0
81163550 0.5 0
81165630 0.5 0
81167710 0.5 0
81169790 0.5 0
81171870 0.5 0
81173950 0.5 0
81176030 0.5 0
81178110 0.5 0
81180190 0.5 0
81182270 0.5 0
81184350 0.5 0
81186430 0.5 0
81188510 0.5 0
81190590 0.5 0
81192670 0.5 0
81194750 0.5 0
81196830 0.5 0
81198910 0.5 0
81200990 0.5 0
81203070 0.5 0
81205150 0.5 0
81207230 0.5 0
81209310 0.5 0
81211390 0.5 0
81213470 0.5 0
81215550 0.5 0
81217630 0.5 0
81219710 0.5 0
81221790 0.5 0
81223870 0.5 0
81225950 0.5 0
81228030 0.5 0
81230110 0.5 0
81232190 0.5 0
81234270 0.5 0
81236350 0.5 0
81238430 0.5 0
81240510 0.5 0
81242590 0.5 0
81244670 0.5 0
81246750 0.5 0
81248830 0.5 0
81250909 0.5 0
81252989 0.5 0
81255069 0.5 0
81257149 0.5 0
81259229 0.5 0
81261309 0.5 0
81263389 0.5 0
81265469 0.5 0
81267549 0.5 0
81269629 0.5 0
81271709 0.5 0
81273789 0.5 0
81275869 0.5 0
81277949 0.5 0
81280029 0.5 0
81282109 0.5 0
81284189 0.5 0
81286269 0.5 0
81288349 0.5 0
81290429 0.5 0
81292509 0.5 0
81294589 0.5 0
81296669 0.5 0
81298749 0.5 0
81300829 0.5 0
81302909 0.5 0
81304989 0.5 0
81307069 0.5 0
81309149 0.5 0
81311229 0.5 0
81313309 0.5 0
81315389 0.5 0
81317469 0.5 0
81319549 0.5 0
81321629 0.5 0
81323709 0.5 0
81325789 0.5 0
